Max steps: 100
Max duration: 3600 [s]

Workers [j],Workers in row [j],Workers in column [j],Ants number [j],Board width [j],Board height [j],Border width [j],Border height [j],Max desynchronization [j],Duration [us]
1,1,1,1600,1000,1000,1,1,1,45045347
1,1,1,1600,1000,1000,5,5,5,29732319
1,1,1,1600,1000,1000,10,10,10,29503427
1,1,1,1600,1000,1000,20,20,20,27344002
1,1,1,1600,1000,1000,50,50,50,26978481
2,1,2,800,1000,500,1,1,1,23730195
2,1,2,800,1000,500,5,5,5,20261836
2,1,2,800,1000,500,10,10,10,18805917
2,1,2,800,1000,500,20,20,20,18215619
2,1,2,800,1000,500,50,50,50,18102293
4,2,2,400,500,500,1,1,1,17346932
4,2,2,400,500,500,5,5,5,14596832
4,2,2,400,500,500,10,10,10,9926729
4,2,2,400,500,500,20,20,20,9640531
4,2,2,400,500,500,50,50,50,7782928
8,2,4,200,500,250,1,1,1,13216524
8,2,4,200,500,250,5,5,5,11503349
8,2,4,200,500,250,10,10,10,7106856
8,2,4,200,500,250,20,20,20,7280975
8,2,4,200,500,250,50,50,50,6848755
16,4,4,100,250,250,1,1,1,7189570
16,4,4,100,250,250,5,5,5,4955995
16,4,4,100,250,250,10,10,10,5074660
16,4,4,100,250,250,20,20,20,4695292
16,4,4,100,250,250,50,50,50,4360699
